Ensembl_ID	Oma-1_042310	Oma-1_IP	Lin-41_IP	baseMean	Oma1_padj	Lin41_padj	biotype	name	external_name	mapq_effect	oma1_042310_fpkm	lysRZ_fpkm	oma1_fpkm	lin41_fpkm	gonad.baseMean	gonadLog2FoldChange	gonadPadj	oocyte_fpkm	sperm_fpkm		
WBGene00015769	6.90604553	6.641303429	5.206955402	2123.756732	0.00E+00	1.74E-277	protein_coding	C14C11.7	C14C11.7	FALSE	608.09	4.97	503.92	186.16	548.6165674	-0.781894364	2.21E-13	24.748	14.422		
WBGene00017985	4.446084044	3.870690776	5.147371434	11188.33256	0.00E+00	0.00E+00	protein_coding	neg-1	neg-1	FALSE	1215.77	55.78	819.21	1986.77	2461.576203	-1.848270695	1.02E-35	91.151	25.315		
WBGene00001842	1.892109911	1.901869467	5.141869041	82.50715956	6.89E-06	5.71E-42	protein_coding	her-1	her-1	FALSE	5.55	1.37	5.31	51.71	7.936512162	-3.560988939	1.22E-07	0.823	0.071		
WBGene00009186	0.783503201	0.921890498	5.133624272	51661.46339	1.09E-19	0.00E+00	protein_coding	trcs-1	trcs-1	FALSE	580.71	338.07	641.15	11928.95	14138.00119	-1.806244044	4.18E-32	430.797	123.112		
WBGene00019082	4.915292708	5.209375905	5.124484882	1862.051022	0.00E+00	0.00E+00	protein_coding	pup-3	pup-3	FALSE	163.66	5.39	200.33	188.88	179.5543229	-2.298008275	6.00E-23	5.815	1.178		
WBGene00020438	4.82274291	4.665007268	5.099271991	752.0803681	1.19E-143	2.88E-171	protein_coding	T12A2.3	T12A2.3	FALSE	140.81	4.95	128.76	174.15	48.35114882	-8.111506338	5.83E-26	3.694	0.011		
WBGene00003783	3.581150305	3.044396428	5.0581819	8065.82671	3.78E-225	0.00E+00	protein_coding	nos-1	nos-1	FALSE	637.53	53.26	440.86	1783.27	1269.43101	-1.610283366	2.01E-27	46.963	15.38		
WBGene00003784	3.334439888	3.706409078	5.009308186	12525.32911	3.54E-293	0.00E+00	protein_coding	nos-2	nos-2	FALSE	782.4	77.62	1017.52	2513.58	2097.903156	-5.244006452	2.96E-67	99.487	2.615		
WBGene00014064	6.232490662	5.911205493	5.008581742	575.8406646	6.96E-173	4.66E-121	protein_coding	sdz-37	sdz-37	FALSE	264.32	3.34	207.53	110.8	11.7041416	-6.779972687	5.99E-14	1.389	0		
WBGene00011981	2.245477354	2.156213642	4.936125826	416.2872171	1.01E-27	1.16E-154	protein_coding	T24C2.2	T24C2.2	FALSE	26.4	5.48	24.6	170.1	77.44643341	-8.787745835	2.01E-31	6.115	0.01		
WBGene00011638	4.811899462	4.586608088	4.911585443	28161.4581	0.00E+00	0.00E+00	protein_coding	ostb-1	ostb-1	FALSE	2685.14	96.18	2325.45	2914.1	10166.9382	0.574444838	4.55E-05	146.237	217.798		
WBGene00011611	3.910606314	3.932651737	4.897146072	153.3602338	1.82E-37	3.15E-58	protein_coding	T08D2.6	T08D2.6	FALSE	79.67	5.01	80.76	158.43	133.021398	-0.906829069	4.92E-11	24.606	13.066		
WBGene00008170	4.237919229	4.107278146	4.884298135	6167.405645	0.00E+00	0.00E+00	protein_coding	C48B4.7	C48B4.7	FALSE	1297.54	68.79	1192.6	2045.18	1198.622779	-0.396472865	0.002985225	66.51	50.545		
WBGene00050970	3.904137403	3.749888095	4.882689103	15.42560584	1.89E-05	1.14E-08	pseudogene		D2023.8	FALSE	13.68	0.38	8.78	20.25	20.15774665	-3.348562071	1.59E-15	7.182	0.705		
WBGene00019357	4.74338295	4.658349756	4.876541466	7908.730627	0.00E+00	0.00E+00	protein_coding	cpg-8	cpg-8	FALSE	1436.75	53.66	1363.6	1586.56	1650.338577	-1.432283559	2.32E-14	85.875	31.812		
WBGene00008132	4.478847478	4.185198589	4.876234242	7429.460527	0.00E+00	0.00E+00	protein_coding	gale-1	gale-1	FALSE	799.35	35.86	655.89	1059.54	2235.87314	-0.305682826	0.002377181	54.329	43.952		
WBGene00000195	1.068624738	0.668114863	4.869831373	1228.075233	8.47E-06	3.08E-298	protein_coding	arr-1	arr-1	FALSE	19.77	9.4	14.97	277.4	207.7329225	-2.893705426	2.43E-47	7.12	0.955		
WBGene00044588	3.154907188	3.146026258	4.862710385	110.5167011	6.50E-20	4.74E-48	protein_coding	ZK1236.9	ZK1236.9	FALSE	13.97	1.46	13.64	45.32	19.30628133	-0.484965306	0.089495878	1.043	0.743		
WBGene00015789	4.232288295	3.714344824	4.8574025	834.7373644	6.87E-117	4.75E-202	protein_coding	syx-6	syx-6	FALSE	173.88	9.24	121.67	269.24	62.48409596	-2.393224213	1.53E-18	4.678	0.893		
WBGene00000431	4.876232972	4.450208855	4.853141935	62.84771394	1.71E-20	4.41E-24	protein_coding	ceh-6	ceh-6	FALSE	7.32	0.2	4.89	6.5	5.691264777	-0.964284505	0.152736776	0.141	0.071		
WBGene00010947	6.944939196	6.43059873	4.807527652	901.6263238	1.56E-247	2.46E-133	protein_coding	M176.11	M176.11	FALSE	284.97	2.23	199.02	64.46	72.20665071	0.022207093	0.930371713	2.432	2.482		
WBGene00016486	1.706358445	1.420330744	4.785197299	799.4454993	1.50E-17	4.14E-209	protein_coding	fbxa-170	fbxa-170	FALSE	19.83	6.09	16.45	170.56	303.3537091	-5.459822741	1.69E-116	11.569	0.261		
WBGene00001516	3.743124313	3.341426643	4.763989274	6484.770653	5.81E-281	0.00E+00	protein_coding	gap-2	gap-2	FALSE	123.31	9.2	93.48	250.86	639.1596163	-3.375890031	2.06E-98	5.717	0.549		
WBGene00008172	2.679086749	2.077162666	4.710284682	2371.519272	4.96E-63	0.00E+00	protein_coding	C48B4.9	C48B4.9	FALSE	212.21	33.23	141.01	877.67	1306.964872	-0.032038565	0.81574294	50.959	49.857		
WBGene00015005	3.362613899	2.705552605	4.709420122	22.58657312	2.32E-04	8.97E-12	protein_coding	B0034.5	B0034.5	FALSE	2.31	0.16	1.24	5.32	5.171805228	0.162217789	0.803954154	0.129	0.149		
WBGene00015183	5.690924579	5.317091223	4.69152018	197.2235781	9.53E-68	1.75E-51	protein_coding	B0432.1	B0432.1	FALSE	47.11	0.83	34.57	22.36	9.683547565	-0.615674823	0.275092676	0.364	0.238		
WBGene00016695	6.301586197	6.12999387	4.680270461	5056.8105	0.00E+00	0.00E+00	protein_coding	C45H4.14	C45H4.14	FALSE	1714.11	21.66	1534.24	560.8	133.64466	-7.918475559	2.55E-48	11.834	0.047		
WBGene00009480	3.11124741	2.794832934	4.671665202	24.31008619	6.75E-05	1.97E-12	protein_coding	F36F2.7	F36F2.7	FALSE	2.79	0.24	1.94	7.51	3.120459052	-0.737062158	0.420175707	0.135	0.084		
WBGene00021827	3.702921875	3.11532826	4.663377004	3042.345597	2.19E-164	0.00E+00	protein_coding	dnc-6	dnc-6	FALSE	489.24	37.56	327.29	958.7	1345.545466	-0.684329728	9.98E-06	65.242	40.61		
WBGene00020578	1.652482867	2.367685594	4.648419445	3.685841853	1.04E-01	4.19E-04	protein_coding	T19D12.3	T19D12.3	FALSE	0.35	0	0.31	2.22	NA	NA	NA	NA	NA		
WBGene00016823	3.00624716	3.061117099	4.641225589	2991.931453	2.57E-178	0.00E+00	protein_coding	C50E3.12	C50E3.12	FALSE	183.11	22.74	190.67	570.94	565.5579644	-6.858049647	1.96E-164	25.83	0.223		
WBGene00022446	4.721235657	4.910030977	4.635686554	45.59590827	1.11E-18	1.99E-16	protein_coding	Y110A2AL.10	Y110A2AL.10	FALSE	22.8	0.62	22.59	18.61	2.962960845	-2.889055893	0.00135445	0.457	0.062		
WBGene00003026	2.871085672	1.803233377	4.635080267	40987.02145	7.86E-15	6.66E-91	protein_coding	lin-41	lin-41	FALSE	714.8	98.77	347.98	2513.97	13545.91777	-3.467378832	3.05E-34	155.464	13.997		
WBGene00020290	1.645329616	1.627498703	4.623955753	6698.533982	1.93E-50	0.00E+00	protein_coding	T06D4.1	T06D4.1	FALSE	154.77	49.63	153.77	1231.04	1192.445572	-6.233540505	1.49E-49	41.004	0.542		
WBGene00015746	3.431544428	3.043835137	4.61448239	7534.764314	1.23E-211	0.00E+00	protein_coding	C13F10.7	C13F10.7	FALSE	803.58	74.41	615.34	1830.3	1657.465213	0.143727288	0.327899951	47.637	52.643		
WBGene00017708	6.063317945	6.036807383	4.612341997	4484.157162	0.00E+00	0.00E+00	protein_coding	F22E5.9	F22E5.9	FALSE	1362.95	20.33	1350.7	502.45	787.9763418	-0.725939197	5.89E-05	42.395	25.622		
WBGene00006446	0.456410347	0.589138814	4.611395583	3991.98649	1.60E-07	0.00E+00	protein_coding	atx-3	atx-3	FALSE	60.35	44.03	66.34	1082.24	2506.05751	-0.243224594	0.055036173	64.471	54.478		
WBGene00017891	1.171915132	0.912317191	4.591697125	1745.265323	1.45E-13	0.00E+00	protein_coding	rgl-1	rgl-1	FALSE	16.6	7.36	13.85	178.26	279.9688091	-3.836377035	5.88E-62	4.832	0.336		
WBGene00010689	4.979552939	4.588975732	4.586263848	132.5121229	3.58E-40	1.50E-39	protein_coding	K08H2.2	K08H2.2	FALSE	32.27	0.92	23.69	23.64	1.874448932	-3.324597469	0.002953198	0.132	0.011		
WBGene00017385	3.509319466	2.866988382	4.577768517	2736.997554	3.21E-159	0.00E+00	protein_coding	F11G11.5	F11G11.5	FALSE	310.76	27.23	199.47	653.97	1535.536861	-0.832343495	4.33E-05	58.837	33.037		
WBGene00016138	3.136501828	2.462400089	4.547901852	1699.084413	1.56E-81	1.61E-284	protein_coding	flh-2	flh-2	FALSE	86.52	9.84	54.33	231.25	433.4854381	-3.646044142	6.75E-65	12.473	0.996		
WBGene00003111	4.674408339	4.269693154	4.545600986	3442.960902	0.00E+00	0.00E+00	protein_coding	mab-20	mab-20	FALSE	233.29	9.11	176.35	213.56	284.1175178	-3.601657547	5.89E-60	5.996	0.493		
WBGene00009499	1.848708825	1.467538096	4.541006212	5021.877748	3.71E-47	0.00E+00	protein_coding	ent-6	ent-6	FALSE	139.77	38.8	107.5	907.46	2106.137318	-1.521564972	2.54E-30	54.109	18.844		
WBGene00007615	0.845757376	0.952212641	4.53944359	4324.794246	2.88E-20	0.00E+00	protein_coding	set-31	set-31	FALSE	64.04	35.63	69.05	832.54	1999.286934	0.711840756	3.04E-08	27.076	44.338		
WBGene00016583	0.980193208	1.383587763	4.514573986	2556.706278	1.40E-31	0.00E+00	protein_coding	tag-335	tag-335	FALSE	48.94	24.8	64.88	570.44	3632.849562	0.887996204	2.12E-12	52.736	97.617		
WBGene00015301	1.585464843	1.330939426	4.511526369	6402.633839	1.67E-33	0.00E+00	protein_coding	C01F1.6	C01F1.6	FALSE	147.82	49.42	124.44	1132.26	2494.818195	-1.412285595	1.18E-14	62.64	23.524		
WBGene00016501	4.99989378	4.789128701	4.508952388	20967.78417	0.00E+00	0.00E+00	protein_coding	C37C3.9	C37C3.9	FALSE	2923.45	91.87	2558.71	2106.25	4749.050962	-1.011608409	2.18E-16	142.92	70.889		
WBGene00044530	5.924527021	5.298309296	4.505145759	446.2729188	2.70E-134	2.82E-94	protein_coding	F32D1.11	F32D1.11	FALSE	178.13	2.8	113.39	65.3	46.89597245	0.983987259	2.01E-05	1.459	2.893		
WBGene00185001	4.93864653	4.440556467	4.471808661	520.7028917	2.84E-113	1.11E-113	protein_coding	F56A8.9	F56A8.9	FALSE	128.05	4.14	90.69	92.67	81.92381106	-0.975600318	5.06E-06	3.995	2.027		
WBGene00018009	4.297559191	4.025459176	4.466844364	7116.439498	0.00E+00	0.00E+00	protein_coding	dhhc-3	dhhc-3	FALSE	809.06	41.1	672.24	913.17	2353.935161	-0.197563469	0.086677518	54.897	47.891		
WBGene00003017	4.440087383	3.664560315	4.462939631	51.81427963	1.17E-13	6.28E-20	protein_coding	lin-31	lin-31	FALSE	7.8	0.29	4.14	7.28	3.049975713	-0.368076187	0.693557998	0.081	0.062		
WBGene00019806	3.743806017	3.97881142	4.46190728	962.4663179	3.40E-163	4.61E-205	protein_coding	R01B10.4	R01B10.4	FALSE	95.25	7.04	112.04	156.7	491.3048115	0.445648205	0.006645756	10.644	14.502		
WBGene00003968	1.687679205	2.002005484	4.450840414	79.73129526	4.92E-07	2.00E-33	protein_coding	peb-1	peb-1	FALSE	1.44	0.43	1.77	9.89	14.4278728	-1.155838801	0.001771592	0.251	0.111		
WBGene00013268	3.864717244	3.217866763	4.443156184	2509.924505	1.27E-183	0.00E+00	protein_coding	Y57A10A.28	Y57A10A.28	FALSE	341.14	23.34	218.18	510.8	1152.953281	-0.051981852	0.83089109	33.27	32.097		
WBGene00020034	4.05029535	3.486964617	4.431067268	108.230217	2.59E-23	1.69E-37	protein_coding	R12E2.8	R12E2.8	FALSE	20.58	1.19	13.78	26.71	9.070699577	-4.428004681	3.07E-09	0.636	0.027		
WBGene00021443	1.688412641	1.508928539	4.429189084	3758.689646	1.99E-35	4.47E-305	protein_coding	Y39A3CL.7	Y39A3CL.7	FALSE	108.56	33.83	96.6	734.06	2769.194763	0.306473593	0.046259925	48.378	59.83		
WBGene00001987	1.964496779	1.063137694	4.425207022	31.62391539	1.42E-01	1.53E-14	protein_coding	hot-2	hot-2	FALSE	1.37	0.33	0.71	8.02	4.32058772	-1.204708759	0.13288513	0.145	0.062		
WBGene00012117	2.241385167	2.201767627	4.40024693	10341.24346	1.53E-113	0.00E+00	protein_coding	T28B11.1	T28B11.1	FALSE	230.32	48.73	224.58	1032.81	5012.517457	-0.433000302	0.096304561	61.656	45.656		
WBGene00010093	1.429211805	1.562815087	4.395618567	15770.23172	4.92E-47	0.00E+00	protein_coding	capg-2	capg-2	FALSE	191.24	71.2	210.79	1506.51	4241.906896	-0.617219907	5.06E-06	47.904	31.23		
WBGene00022236	6.718365101	5.658003279	4.379198324	193.449279	3.93E-64	7.25E-37	protein_coding	Y73B6BL.12	Y73B6BL.12	FALSE	163.06	1.34	72.51	29.72	60.5307251	-0.239299418	0.461866962	4.742	4.017		
WBGene00015457	5.631166811	5.345214173	4.374602408	20.88148943	2.42E-10	5.49E-07	protein_coding	C04G6.7	C04G6.7	FALSE	10.5	0.07	5.58	2.76	1.234667237	-1.033104867	0.426069795	0.083	0.041		
WBGene00017752	4.772741037	4.910787677	4.366988034	161.4680709	5.64E-49	5.07E-38	protein_coding	sdz-15	sdz-15	FALSE	23.04	0.88	28.76	19.66	0.834766105	-2.987946106	0.035282714	0.048	0		
WBGene00000137	1.994195278	1.634701274	4.363984355	1469.452713	1.31E-41	0.00E+00	protein_coding	amx-1	amx-1	FALSE	31.09	7.78	24.21	161.04	287.0473329	-4.349577017	1.14E-75	6.162	0.299		
WBGene00009164	2.081164145	1.903435479	4.346932298	11517.88887	3.09E-92	0.00E+00	protein_coding	hrdl-1	hrdl-1	FALSE	309.51	73.21	274.44	1495.81	5700.010826	-0.251498916	0.121911023	84.124	70.67		
WBGene00000897	1.370998534	1.442179531	4.346760312	2483.674456	5.43E-42	0.00E+00	protein_coding	daf-1	daf-1	FALSE	38.64	14.92	40.61	304.91	566.5962894	-2.717002484	5.81E-36	11.7	1.779		
WBGene00010981	6.363159629	5.540965166	4.342011338	1024.485812	1.27E-255	1.61E-151	protein_coding	blos-8	R03A10.1	FALSE	647.14	7.68	362.96	157.76	65.55955534	-5.915007814	1.71E-47	8.185	0.128		
WBGene00018878	2.018089946	3.284804789	4.32727995	2756.80462	2.05E-28	2.99E-48	protein_coding	glit-1	glit-1	FALSE	50.95	12.99	130.36	270.88	215.9237748	-2.40601115	1.18E-26	4.443	0.833		
WBGene00004078	3.294358885	2.918383591	4.310807131	59136.80562	1.40E-128	1.04E-278	protein_coding	pos-1	pos-1	FALSE	5911.88	606.44	4604.46	12111.63	16775.79024	-3.739754155	1.15E-56	829.686	61.925		
WBGene00011898	5.530993175	4.790800815	4.309538889	25625.82288	0.00E+00	0.00E+00	protein_coding	T21C9.13	T21C9.13	FALSE	5358.95	115.94	3223.85	2308.43	3007.245192	-3.809149214	1.72E-110	138.201	9.854		
WBGene00011342	4.549986479	4.029008627	4.307028773	1696.258638	8.41E-218	4.82E-248	protein_coding	T01G5.7	T01G5.7	FALSE	313.72	13.32	219.22	265.9	231.3836739	-9.356756134	7.47E-48	13.742	0.02		
WBGene00010492	0.514028792	0.401370329	4.304758194	12493.41082	1.45E-05	0.00E+00	protein_coding	meg-1	meg-1	FALSE	125.86	88.14	116.44	1747.34	4171.432412	-6.347216266	3.45E-153	103.632	1.269		
WBGene00016564	1.894917178	1.449149186	4.302522931	3538.947436	1.57E-27	5.51E-239	protein_coding	cmt-1	cmt-1	FALSE	219.02	59.2	162.21	1177.67	2234.074529	-1.80604318	3.28E-26	117.028	33.445		
WBGene00021314	4.29029955	3.651589004	4.298665383	421.1146814	2.07E-66	6.60E-92	protein_coding	Y32H12A.6	Y32H12A.6	FALSE	73.51	3.78	48.79	76.55	256.2027072	-0.414687305	0.064546531	8.842	6.628		
WBGene00013254	1.925010527	2.071643235	4.294495593	179.2080755	1.28E-13	1.23E-58	protein_coding	tag-276	tag-276	FALSE	14.44	3.81	16.44	77.64	22.92904146	-7.03622015	2.24E-18	2.052	0.011		
WBGene00010444	3.86358432	3.533828301	4.291436607	7464.30769	1.81E-293	0.00E+00	protein_coding	magi-1	magi-1	FALSE	268.92	18.48	214.6	363.04	754.2349862	-3.075933596	5.73E-85	10.208	1.206		
WBGene00012104	7.489743334	6.628500671	4.278557007	14950.88948	0.00E+00	0.00E+00	protein_coding	sygl-1	sygl-1	FALSE	6769.95	37.59	3749.55	733.94	2608.950802	-2.613158528	7.52E-58	181.46	29.646		
WBGene00020404	2.322720703	1.788758453	4.277250317	2676.127734	4.34E-51	3.73E-296	protein_coding	T10B11.8	T10B11.8	FALSE	107.9	21.6	74.95	421.85	1293.857071	-0.551246959	6.77E-05	26.107	17.814		
WBGene00021375	3.999721634	3.663009151	4.272257914	243.8355174	6.31E-51	4.03E-69	protein_coding	Y37E11B.2	Y37E11B.2	FALSE	43.22	2.62	33.77	51.63	9.689715952	-1.161395826	0.023054255	0.469	0.207		
WBGene00013323	2.976658534	2.24961657	4.268661562	2734.723877	2.94E-97	0.00E+00	protein_coding	Y57G11C.33	Y57G11C.33	FALSE	324.9	41.23	196.81	799.25	927.0771738	-1.305356445	2.00E-27	45.164	18.284		
WBGene00235128	3.01574426	2.876593806	4.258380025	5.264709814	2.13E-02	3.29E-04	ncRNA		F09E8.12	FALSE	2.49	0.06	1.37	4.2	2.342671087	-1.03113878	0.286501284	0.306	0.152		
WBGene00003661	0.766707574	0.837596147	4.255767645	1629.963364	7.47E-12	0.00E+00	protein_coding	nhr-71	nhr-71	FALSE	20.47	12.02	21.49	230.62	615.507211	-4.653672599	4.09E-65	15.407	0.606		
WBGene00009924	0.366064344	0.219367564	4.251999199	6644.793037	3.84E-02	0.00E+00	protein_coding	cfp-1	cfp-1	FALSE	69.33	53.8	62.67	1029.03	2895.010106	-0.89476836	3.24E-10	54.065	29.072		
