Image ID,set 3 mRNA molecules,lin 41 mRNA molecules,Image_ID,subdirectory,Cell_Stage,Strain
14,1718,8411,quantification_230607_DG5398_lin-41_set-3_rep3_2-cell.csv,2-cell_DG5398,2-cell,DG5398
2,1941,13122,quantification_230505_DG5399_2-cell.csv,2-cell_DG5399,2-cell,DG5399
4,4787,12386,quantification_230505_DG5399_2-cell.csv,2-cell_DG5399,2-cell,DG5399
8,1580,7964,quantification_230505_DG5399_2-cell.csv,2-cell_DG5399,2-cell,DG5399
10,1827,9869,quantification_230505_DG5399_2-cell.csv,2-cell_DG5399,2-cell,DG5399
11,1700,9326,quantification_230505_DG5399_2-cell.csv,2-cell_DG5399,2-cell,DG5399
12,2168,7873,quantification_230505_DG5399_2-cell.csv,2-cell_DG5399,2-cell,DG5399
15,1834,8977,quantification_230505_DG5399_2-cell.csv,2-cell_DG5399,2-cell,DG5399
17,1518,6639,quantification_230505_DG5399_2-cell.csv,2-cell_DG5399,2-cell,DG5399
3,771,7139,quantification_230514_DG5399_lin-41_spn-4_rep2_2-cell.csv,2-cell_DG5399,2-cell,DG5399
9,975,6253,quantification_230514_DG5399_lin-41_spn-4_rep2_2-cell.csv,2-cell_DG5399,2-cell,DG5399
12,704,4187,quantification_230514_DG5399_lin-41_spn-4_rep2_2-cell.csv,2-cell_DG5399,2-cell,DG5399
1,723,7680,quantification_230606_DG5399-2-cell.csv,2-cell_DG5399,2-cell,DG5399
3,1386,6394,quantification_230606_DG5399-2-cell.csv,2-cell_DG5399,2-cell,DG5399
7,993,4103,quantification_230606_DG5399-2-cell.csv,2-cell_DG5399,2-cell,DG5399
8,1190,6895,quantification_230606_DG5399-2-cell.csv,2-cell_DG5399,2-cell,DG5399
10,1428,7770,quantification_230606_DG5399-2-cell.csv,2-cell_DG5399,2-cell,DG5399
11,828,5032,quantification_230606_DG5399-2-cell.csv,2-cell_DG5399,2-cell,DG5399
12,1140,7647,quantification_230606_DG5399-2-cell.csv,2-cell_DG5399,2-cell,DG5399
1,1237,5660,quantification_230521_DG5410_lin-41_set-3_rep1_2-cell.csv,2-cell_DG5410,2-cell,DG5410
2,1371,1105,quantification_230521_DG5410_lin-41_set-3_rep1_2-cell.csv,2-cell_DG5410,2-cell,DG5410
3,1005,5852,quantification_230521_DG5410_lin-41_set-3_rep1_2-cell.csv,2-cell_DG5410,2-cell,DG5410
4,1799,2773,quantification_230521_DG5410_lin-41_set-3_rep1_2-cell.csv,2-cell_DG5410,2-cell,DG5410
5,1541,937,quantification_230521_DG5410_lin-41_set-3_rep1_2-cell.csv,2-cell_DG5410,2-cell,DG5410
7,1024,834,quantification_230521_DG5410_lin-41_set-3_rep1_2-cell.csv,2-cell_DG5410,2-cell,DG5410
10,1176,1567,quantification_230521_DG5410_lin-41_set-3_rep1_2-cell.csv,2-cell_DG5410,2-cell,DG5410
11,1496,4307,quantification_230521_DG5410_lin-41_set-3_rep1_2-cell.csv,2-cell_DG5410,2-cell,DG5410
1,1013,1458,quantification_230601_DG5410_lin-41_set-3_rep2_2-cell.csv,2-cell_DG5410,2-cell,DG5410
3,4664,1317,quantification_230601_DG5410_lin-41_set-3_rep2_2-cell.csv,2-cell_DG5410,2-cell,DG5410
5,1067,1600,quantification_230601_DG5410_lin-41_set-3_rep2_2-cell.csv,2-cell_DG5410,2-cell,DG5410
7,1099,1242,quantification_230601_DG5410_lin-41_set-3_rep2_2-cell.csv,2-cell_DG5410,2-cell,DG5410
8,627,962,quantification_230601_DG5410_lin-41_set-3_rep2_2-cell.csv,2-cell_DG5410,2-cell,DG5410
9,1205,3170,quantification_230601_DG5410_lin-41_set-3_rep2_2-cell.csv,2-cell_DG5410,2-cell,DG5410
10,1229,1777,quantification_230601_DG5410_lin-41_set-3_rep2_2-cell.csv,2-cell_DG5410,2-cell,DG5410
11,1574,3976,quantification_230601_DG5410_lin-41_set-3_rep2_2-cell.csv,2-cell_DG5410,2-cell,DG5410
12,1192,2378,quantification_230601_DG5410_lin-41_set-3_rep2_2-cell.csv,2-cell_DG5410,2-cell,DG5410
13,1390,1653,quantification_230601_DG5410_lin-41_set-3_rep2_2-cell.csv,2-cell_DG5410,2-cell,DG5410
5,523,1578,quantification_230606_Dg5410_lin-41_set-3_rep3_2-cell.csv,2-cell_DG5410,2-cell,DG5410
10,413,1296,quantification_230606_Dg5410_lin-41_set-3_rep3_2-cell.csv,2-cell_DG5410,2-cell,DG5410
11,1230,3715,quantification_230606_Dg5410_lin-41_set-3_rep3_2-cell.csv,2-cell_DG5410,2-cell,DG5410
12,2146,2935,quantification_230606_Dg5410_lin-41_set-3_rep3_2-cell.csv,2-cell_DG5410,2-cell,DG5410
17,402,2578,quantification_230606_Dg5410_lin-41_set-3_rep3_2-cell.csv,2-cell_DG5410,2-cell,DG5410
18,1305,1160,quantification_230606_Dg5410_lin-41_set-3_rep3_2-cell.csv,2-cell_DG5410,2-cell,DG5410
1,2043,2904,quantification_230926_DG5779_lin-41_set-3_rep1 _2-cell.csv,2-cell_DG5779,2-cell,DG5779
2,3068,3298,quantification_230926_DG5779_lin-41_set-3_rep1 _2-cell.csv,2-cell_DG5779,2-cell,DG5779
3,1198,8373,quantification_230926_DG5779_lin-41_set-3_rep1 _2-cell.csv,2-cell_DG5779,2-cell,DG5779
4,1317,5058,quantification_230926_DG5779_lin-41_set-3_rep1 _2-cell.csv,2-cell_DG5779,2-cell,DG5779
6,1191,4377,quantification_230926_DG5779_lin-41_set-3_rep1 _2-cell.csv,2-cell_DG5779,2-cell,DG5779
8,1159,7231,quantification_230926_DG5779_lin-41_set-3_rep1 _2-cell.csv,2-cell_DG5779,2-cell,DG5779
10,1452,5228,quantification_230926_DG5779_lin-41_set-3_rep1 _2-cell.csv,2-cell_DG5779,2-cell,DG5779
11,1691,6729,quantification_230926_DG5779_lin-41_set-3_rep1 _2-cell.csv,2-cell_DG5779,2-cell,DG5779
13,1269,5891,quantification_230926_DG5779_lin-41_set-3_rep1 _2-cell.csv,2-cell_DG5779,2-cell,DG5779
17,1372,6308,quantification_230926_DG5779_lin-41_set-3_rep1 _2-cell.csv,2-cell_DG5779,2-cell,DG5779
21,862,8442,quantification_230926_DG5779_lin-41_set-3_rep1 _2-cell.csv,2-cell_DG5779,2-cell,DG5779
1,562,5179,quantification_231013_DG5779_lin-41_set-3_rep2_2-cell.csv,2-cell_DG5779,2-cell,DG5779
2,1512,8501,quantification_231013_DG5779_lin-41_set-3_rep2_2-cell.csv,2-cell_DG5779,2-cell,DG5779
3,1151,6484,quantification_231013_DG5779_lin-41_set-3_rep2_2-cell.csv,2-cell_DG5779,2-cell,DG5779
5,1602,8551,quantification_231013_DG5779_lin-41_set-3_rep2_2-cell.csv,2-cell_DG5779,2-cell,DG5779
6,1174,8287,quantification_231013_DG5779_lin-41_set-3_rep2_2-cell.csv,2-cell_DG5779,2-cell,DG5779
7,1308,8062,quantification_231013_DG5779_lin-41_set-3_rep2_2-cell.csv,2-cell_DG5779,2-cell,DG5779
9,2121,10561,quantification_231013_DG5779_lin-41_set-3_rep2_2-cell.csv,2-cell_DG5779,2-cell,DG5779
10,821,3104,quantification_231013_DG5779_lin-41_set-3_rep2_2-cell.csv,2-cell_DG5779,2-cell,DG5779
12,983,4423,quantification_231013_DG5779_lin-41_set-3_rep2_2-cell.csv,2-cell_DG5779,2-cell,DG5779
14,1389,5361,quantification_231013_DG5779_lin-41_set-3_rep2_2-cell.csv,2-cell_DG5779,2-cell,DG5779
1,4236,6426,quantification_231027_DG5779_lin-41_set-3_rep3_2-cell.csv,2-cell_DG5779,2-cell,DG5779
3,783,3327,quantification_231027_DG5779_lin-41_set-3_rep3_2-cell.csv,2-cell_DG5779,2-cell,DG5779
5,1581,5489,quantification_231027_DG5779_lin-41_set-3_rep3_2-cell.csv,2-cell_DG5779,2-cell,DG5779
1,655,1497,quantification_230521_N2_lin-41_set-3_rep1_2-cell.csv,2-cell_N2,2-cell,N2
3,1079,2307,quantification_230521_N2_lin-41_set-3_rep1_2-cell.csv,2-cell_N2,2-cell,N2
4,1260,3883,quantification_230521_N2_lin-41_set-3_rep1_2-cell.csv,2-cell_N2,2-cell,N2
7,997,2487,quantification_230521_N2_lin-41_set-3_rep1_2-cell.csv,2-cell_N2,2-cell,N2
9,586,3062,quantification_230521_N2_lin-41_set-3_rep1_2-cell.csv,2-cell_N2,2-cell,N2
10,1209,1588,quantification_230521_N2_lin-41_set-3_rep1_2-cell.csv,2-cell_N2,2-cell,N2
12,1397,3021,quantification_230521_N2_lin-41_set-3_rep1_2-cell.csv,2-cell_N2,2-cell,N2
13,1103,1723,quantification_230521_N2_lin-41_set-3_rep1_2-cell.csv,2-cell_N2,2-cell,N2
2,1047,5387,quantification_230601_N2_lin-41_set-3_rep2_2-cell.csv,2-cell_N2,2-cell,N2
6,1407,2012,quantification_230601_N2_lin-41_set-3_rep2_2-cell.csv,2-cell_N2,2-cell,N2
9,1606,3905,quantification_230601_N2_lin-41_set-3_rep2_2-cell.csv,2-cell_N2,2-cell,N2
10,599,8427,quantification_230601_N2_lin-41_set-3_rep2_2-cell.csv,2-cell_N2,2-cell,N2
11,1207,4605,quantification_230601_N2_lin-41_set-3_rep2_2-cell.csv,2-cell_N2,2-cell,N2
12,1422,3122,quantification_230601_N2_lin-41_set-3_rep2_2-cell.csv,2-cell_N2,2-cell,N2
13,1063,4655,quantification_230601_N2_lin-41_set-3_rep2_2-cell.csv,2-cell_N2,2-cell,N2
14,1433,5493,quantification_230601_N2_lin-41_set-3_rep2_2-cell.csv,2-cell_N2,2-cell,N2
15,1320,4340,quantification_230601_N2_lin-41_set-3_rep2_2-cell.csv,2-cell_N2,2-cell,N2
16,1071,5818,quantification_230601_N2_lin-41_set-3_rep2_2-cell.csv,2-cell_N2,2-cell,N2
17,1721,8933,quantification_230601_N2_lin-41_set-3_rep2_2-cell.csv,2-cell_N2,2-cell,N2
1,584,1449,quantification_230725_N2_lin-41_set-3_rep3_2-cell.csv,2-cell_N2,2-cell,N2
2,656,2105,quantification_230725_N2_lin-41_set-3_rep3_2-cell.csv,2-cell_N2,2-cell,N2
3,1519,2516,quantification_230725_N2_lin-41_set-3_rep3_2-cell.csv,2-cell_N2,2-cell,N2
4,1238,1387,quantification_230725_N2_lin-41_set-3_rep3_2-cell.csv,2-cell_N2,2-cell,N2
5,1352,5335,quantification_230725_N2_lin-41_set-3_rep3_2-cell.csv,2-cell_N2,2-cell,N2
6,1154,3245,quantification_230725_N2_lin-41_set-3_rep3_2-cell.csv,2-cell_N2,2-cell,N2
9,1041,1287,quantification_230725_N2_lin-41_set-3_rep3_2-cell.csv,2-cell_N2,2-cell,N2
10,1027,3359,quantification_230725_N2_lin-41_set-3_rep3_2-cell.csv,2-cell_N2,2-cell,N2
11,1320,4817,quantification_230725_N2_lin-41_set-3_rep3_2-cell.csv,2-cell_N2,2-cell,N2
14,658,3871,quantification_230725_N2_lin-41_set-3_rep3_2-cell.csv,2-cell_N2,2-cell,N2
17,318,1941,quantification_230725_N2_lin-41_set-3_rep3_2-cell.csv,2-cell_N2,2-cell,N2
19,1537,3159,quantification_230725_N2_lin-41_set-3_rep3_2-cell.csv,2-cell_N2,2-cell,N2
7,1106,2110,quantification_230606_DG3913_lin-41_set-3_rep4_4-cell.csv,4-cell_DG3913,4-cell,DG3913
11,1146,1443,quantification_230606_DG3913_lin-41_set-3_rep4_4-cell.csv,4-cell_DG3913,4-cell,DG3913
1,498,614,quantification_230726_DG3913_lin-41_set-3_rep5-4-cell.csv,4-cell_DG3913,4-cell,DG3913
6,1739,1009,quantification_230726_DG3913_lin-41_set-3_rep5-4-cell.csv,4-cell_DG3913,4-cell,DG3913
7,1797,1018,quantification_230726_DG3913_lin-41_set-3_rep5-4-cell.csv,4-cell_DG3913,4-cell,DG3913
19,1640,851,quantification_230726_DG3913_lin-41_set-3_rep5-4-cell.csv,4-cell_DG3913,4-cell,DG3913
20,1663,563,quantification_230726_DG3913_lin-41_set-3_rep5-4-cell.csv,4-cell_DG3913,4-cell,DG3913
6,1082,940,quantification_230517_DG5329_lin-41_set-3_rep1_4-cell.csv,4-cell_DG5329,4-cell,DG5329
11,1587,773,quantification_230517_DG5329_lin-41_set-3_rep1_4-cell.csv,4-cell_DG5329,4-cell,DG5329
6,989,738,quantification_230607_DG5329_lin-41_set-3_rep3_4-cell.csv,4-cell_DG5329,4-cell,DG5329
7,1436,1053,quantification_230607_DG5329_lin-41_set-3_rep3_4-cell.csv,4-cell_DG5329,4-cell,DG5329
10,582,790,quantification_230607_DG5329_lin-41_set-3_rep3_4-cell.csv,4-cell_DG5329,4-cell,DG5329
1,3005,4155,quantification_230517_DG5398_lin-41_set-3_rep1_4-cell.csv,4-cell_DG5398,4-cell,DG5398
4,1426,6013,quantification_230517_DG5398_lin-41_set-3_rep1_4-cell.csv,4-cell_DG5398,4-cell,DG5398
1,468,5362,quantification_230521_DG5398_lin-41_set-3_rep2_4-cell.csv,4-cell_DG5398,4-cell,DG5398
4,729,4332,quantification_230521_DG5398_lin-41_set-3_rep2_4-cell.csv,4-cell_DG5398,4-cell,DG5398
7,1132,6073,quantification_230521_DG5398_lin-41_set-3_rep2_4-cell.csv,4-cell_DG5398,4-cell,DG5398
9,327,2912,quantification_230521_DG5398_lin-41_set-3_rep2_4-cell.csv,4-cell_DG5398,4-cell,DG5398
1,407,3967,quantification_230607_DG5398_lin-41_set-3_rep3_4-cell.csv,4-cell_DG5398,4-cell,DG5398
2,843,5305,quantification_230607_DG5398_lin-41_set-3_rep3_4-cell.csv,4-cell_DG5398,4-cell,DG5398
3,773,7923,quantification_230607_DG5398_lin-41_set-3_rep3_4-cell.csv,4-cell_DG5398,4-cell,DG5398
6,1559,8019,quantification_230607_DG5398_lin-41_set-3_rep3_4-cell.csv,4-cell_DG5398,4-cell,DG5398
7,1351,6258,quantification_230607_DG5398_lin-41_set-3_rep3_4-cell.csv,4-cell_DG5398,4-cell,DG5398
13,1156,3479,quantification_230607_DG5398_lin-41_set-3_rep3_4-cell.csv,4-cell_DG5398,4-cell,DG5398
5,984,3038,quantification_230505_DG5399_4-cell.csv,4-cell_DG5399,4-cell,DG5399
6,1179,8436,quantification_230505_DG5399_4-cell.csv,4-cell_DG5399,4-cell,DG5399
7,762,7676,quantification_230505_DG5399_4-cell.csv,4-cell_DG5399,4-cell,DG5399
9,1873,7373,quantification_230505_DG5399_4-cell.csv,4-cell_DG5399,4-cell,DG5399
13,1400,6673,quantification_230505_DG5399_4-cell.csv,4-cell_DG5399,4-cell,DG5399
4,9451,7808,quantification_230514_DG5399_lin-41_spn-4_rep2_4-cell.csv,4-cell_DG5399,4-cell,DG5399
5,662,3521,quantification_230514_DG5399_lin-41_spn-4_rep2_4-cell.csv,4-cell_DG5399,4-cell,DG5399
8,671,8569,quantification_230514_DG5399_lin-41_spn-4_rep2_4-cell.csv,4-cell_DG5399,4-cell,DG5399
10,793,5109,quantification_230514_DG5399_lin-41_spn-4_rep2_4-cell.csv,4-cell_DG5399,4-cell,DG5399
11,706,4390,quantification_230514_DG5399_lin-41_spn-4_rep2_4-cell.csv,4-cell_DG5399,4-cell,DG5399
2,1174,5024,quantification_230606_DG5399_4-cell.csv,4-cell_DG5399,4-cell,DG5399
4,1201,6792,quantification_230606_DG5399_4-cell.csv,4-cell_DG5399,4-cell,DG5399
5,1509,7254,quantification_230606_DG5399_4-cell.csv,4-cell_DG5399,4-cell,DG5399
6,1195,6954,quantification_230606_DG5399_4-cell.csv,4-cell_DG5399,4-cell,DG5399
6,1030,492,quantification_230521_DG5410_lin-41_set-3_rep1_4-cell.csv,4-cell_DG5410,4-cell,DG5410
8,735,504,quantification_230521_DG5410_lin-41_set-3_rep1_4-cell.csv,4-cell_DG5410,4-cell,DG5410
2,1401,1791,quantification_230601_DG5410_lin-41_set-3_rep2_4-cell.csv,4-cell_DG5410,4-cell,DG5410
4,417,249,quantification_230601_DG5410_lin-41_set-3_rep2_4-cell.csv,4-cell_DG5410,4-cell,DG5410
6,612,1307,quantification_230601_DG5410_lin-41_set-3_rep2_4-cell.csv,4-cell_DG5410,4-cell,DG5410
1,399,1112,quantification_230606_Dg5410_lin-41_set-3_rep3_4-cell.csv,4-cell_DG5410,4-cell,DG5410
2,1119,1158,quantification_230606_Dg5410_lin-41_set-3_rep3_4-cell.csv,4-cell_DG5410,4-cell,DG5410
3,691,798,quantification_230606_Dg5410_lin-41_set-3_rep3_4-cell.csv,4-cell_DG5410,4-cell,DG5410
13,363,584,quantification_230606_Dg5410_lin-41_set-3_rep3_4-cell.csv,4-cell_DG5410,4-cell,DG5410
15,1270,881,quantification_230606_Dg5410_lin-41_set-3_rep3_4-cell.csv,4-cell_DG5410,4-cell,DG5410
16,1241,687,quantification_230606_Dg5410_lin-41_set-3_rep3_4-cell.csv,4-cell_DG5410,4-cell,DG5410
5,1034,890,quantification_230926_DG5779_lin-41_set-3_rep1 _4-cell.csv,4-cell_DG5779,4-cell,DG5779
7,1401,2992,quantification_230926_DG5779_lin-41_set-3_rep1 _4-cell.csv,4-cell_DG5779,4-cell,DG5779
9,1154,3892,quantification_230926_DG5779_lin-41_set-3_rep1 _4-cell.csv,4-cell_DG5779,4-cell,DG5779
12,1348,1952,quantification_230926_DG5779_lin-41_set-3_rep1 _4-cell.csv,4-cell_DG5779,4-cell,DG5779
14,786,5710,quantification_230926_DG5779_lin-41_set-3_rep1 _4-cell.csv,4-cell_DG5779,4-cell,DG5779
15,1074,2009,quantification_230926_DG5779_lin-41_set-3_rep1 _4-cell.csv,4-cell_DG5779,4-cell,DG5779
16,1495,3896,quantification_230926_DG5779_lin-41_set-3_rep1 _4-cell.csv,4-cell_DG5779,4-cell,DG5779
18,931,1399,quantification_230926_DG5779_lin-41_set-3_rep1 _4-cell.csv,4-cell_DG5779,4-cell,DG5779
19,1649,4305,quantification_230926_DG5779_lin-41_set-3_rep1 _4-cell.csv,4-cell_DG5779,4-cell,DG5779
20,421,7165,quantification_230926_DG5779_lin-41_set-3_rep1 _4-cell.csv,4-cell_DG5779,4-cell,DG5779
4,940,2441,quantification_231013_DG5779_lin-41_set-3_rep2_4-cell.csv,4-cell_DG5779,4-cell,DG5779
8,1709,4956,quantification_231013_DG5779_lin-41_set-3_rep2_4-cell.csv,4-cell_DG5779,4-cell,DG5779
11,702,1535,quantification_231013_DG5779_lin-41_set-3_rep2_4-cell.csv,4-cell_DG5779,4-cell,DG5779
13,649,1420,quantification_231013_DG5779_lin-41_set-3_rep2_4-cell.csv,4-cell_DG5779,4-cell,DG5779
2,1327,3876,quantification_231027_DG5779_lin-41_set-3_rep3_4-cell.csv,4-cell_DG5779,4-cell,DG5779
4,1837,2405,quantification_231027_DG5779_lin-41_set-3_rep3_4-cell.csv,4-cell_DG5779,4-cell,DG5779
6,1260,2304,quantification_231027_DG5779_lin-41_set-3_rep3_4-cell.csv,4-cell_DG5779,4-cell,DG5779
5,1191,1177,quantification_230521_N2_lin-41_set-3_rep1_4-cell.csv,4-cell_N2,4-cell,N2
6,873,531,quantification_230521_N2_lin-41_set-3_rep1_4-cell.csv,4-cell_N2,4-cell,N2
8,1206,1285,quantification_230521_N2_lin-41_set-3_rep1_4-cell.csv,4-cell_N2,4-cell,N2
11,904,829,quantification_230521_N2_lin-41_set-3_rep1_4-cell.csv,4-cell_N2,4-cell,N2
1,1293,1584,quantification_230601_N2_lin-41_set-3_rep2_4-cell.csv,4-cell_N2,4-cell,N2
3,861,962,quantification_230601_N2_lin-41_set-3_rep2_4-cell.csv,4-cell_N2,4-cell,N2
4,1153,1210,quantification_230601_N2_lin-41_set-3_rep2_4-cell.csv,4-cell_N2,4-cell,N2
5,1021,689,quantification_230601_N2_lin-41_set-3_rep2_4-cell.csv,4-cell_N2,4-cell,N2
7,1109,1083,quantification_230601_N2_lin-41_set-3_rep2_4-cell.csv,4-cell_N2,4-cell,N2
8,1193,692,quantification_230601_N2_lin-41_set-3_rep2_4-cell.csv,4-cell_N2,4-cell,N2
13,1364,1997,quantification_230725_N2_lin-41_set-3_rep3_4-cell.csv,4-cell_N2,4-cell,N2
15,788,687,quantification_230725_N2_lin-41_set-3_rep3_4-cell.csv,4-cell_N2,4-cell,N2
16,1316,1468,quantification_230725_N2_lin-41_set-3_rep3_4-cell.csv,4-cell_N2,4-cell,N2
18,757,1130,quantification_230725_N2_lin-41_set-3_rep3_4-cell.csv,4-cell_N2,4-cell,N2
